month,year,mean,ERA5,PERSIANN,Rainfall
5,2015,92.08668089,81.62847161,108.4212148,128
6,2015,351.2199397,399.8663425,403.9323744,318
7,2015,781.5332069,573.8801956,705.8648806,922
8,2015,277.33918,269.5769668,342.3438573,353
9,2015,242.387763,199.498117,309.3000645,293
10,2015,97.99180591,77.97519118,112.6075604,83
11,2015,11.43478668,9.204923175,5.706221521,3
12,2015,3.315095812,15.00899717,10.0126012,6
1,2016,4.798265278,11.12978347,12.31194353,0
2,2016,40.98600793,37.5338383,89.2848084,97
3,2016,48.52373791,75.65893233,52.75557485,5
4,2016,57.05817032,73.1549263,54.18238804,54
5,2016,314.2103138,304.8681021,325.2392809,350
6,2016,155.1708531,212.6104534,191.7713943,353
7,2016,462.3338318,393.2941556,442.3254973,413
8,2016,404.0555801,467.9626822,322.8041587,646
9,2016,125.7084208,189.0753806,222.1094258,148
10,2016,92.0852319,129.9631596,102.7142384,81
11,2016,44.8965525,68.95230711,49.49773765,75
12,2016,2.325956881,0.056991354,0,0
1,2017,3.41645813,0.440606847,6.875014067,0
2,2017,4.689741194,3.622921184,0,2
3,2017,48.23869324,93.55601668,31.58808601,59
4,2017,111.4559201,121.4608327,126.2537665,99
5,2017,176.1701303,119.6702346,137.0257736,200
6,2017,356.5652647,404.7740996,14.04238862,356
7,2017,657.2024689,425.4041314,4.790929031,690
8,2017,359.542942,360.3508472,441.0527527,313
9,2017,176.6403313,290.5161381,299.6577427,175
10,2017,336.3602064,237.4805808,268.5342767,322
11,2017,22.14271039,32.71519393,20.8518821,19
12,2017,17.82566309,95.51312774,64.84441268,51
1,2018,4.817494065,0.041525811,7.808684349,0
2,2018,14.3557874,2.368586138,6.616583675,0
3,2018,21.1380136,25.00358969,17.8324081,1
4,2018,124.5208235,166.9321209,186.7147851,64
5,2018,246.5710869,338.9895558,338.5493989,226
6,2018,251.8329659,349.11865,357.029047,266
7,2018,363.203804,352.6110649,398.245137,264
8,2018,190.9512005,191.4218664,235.5287302,107
9,2018,139.2638402,154.0410221,191.7639385,106
10,2018,81.53137231,121.1115122,147.5857831,36
11,2018,4.966717541,4.245601594,4.255623192,0
12,2018,3.941075921,21.94057032,8.981664896,3
1,2019,3.666300297,0.51301904,0,0
2,2019,41.91451776,41.11208394,68.34038496,166
3,2019,82.80729389,50.26495829,85.99325681,74
4,2019,101.8876781,151.0155946,128.332837,102
5,2019,185.1067195,131.1109811,200.3083692,104
6,2019,186.108201,271.7632353,209.1965124,114
7,2019,494.4946604,239.6404147,478.4169159,335
8,2019,312.2093849,289.3509567,347.9845634,370
9,2019,187.6789536,181.0694337,317.3762167,283
10,2019,152.1153201,147.9663551,163.3923746,187
11,2019,54.63291675,156.1697423,124.3409758,175
12,2019,4.284284949,8.238963783,7.840466917,15
